"gene","constitutiveexons","ESTcount","alt3EST","alt5EST","alt3.5EST","GeneLength","TranscriptCount","GCcontent","NumJunctions","IntronicLength"
"DOCK8",53,697,0,2,0,250405,17,41.5,313,236680
"KANK1",24,254,1,2,0,275815,10,42.03,66,264547
"KCNT1",32,221,3,0,0,93323,27,61.61,307,81719
"TYRP1",6,111,0,0,0,24851,7,34.54,24,21120
"MPDZ",47,853,1,1,0,173886,19,35.81,492,162661
"LHX3",5,48,0,0,0,8859,3,65.59,10,6287
"GLIS3",12,91,0,0,0,524265,17,40.19,59,512731
"SETX",26,475,1,1,0,93629,5,41,98,81517
"ABCA2",50,1357,10,5,12,21695,24,66.66,361,10214
"EXOSC3",2,130,0,0,0,34459,8,43.49,19,31682
"DVL1",16,556,4,14,0,14074,8,66.25,31,10602
"GATA3",4,57,8,0,0,21594,4,48.73,13,18348
"HPS1",18,782,11,11,0,30749,15,49.72,115,25473
"PHYH",8,364,0,3,0,24616,7,46.07,37,21246
"DNMBP",17,137,0,1,0,134342,4,43.7,59,125728
"ERLIN1",10,587,1,0,0,38240,3,38.56,31,32459
"CUBN",66,309,0,0,0,305867,4,39.49,76,292768
"CDH23",68,445,0,1,0,419013,14,52.3,223,401727
"MICU1",15,1477,7,1,0,258864,11,40.17,81,254568
"BMPR1A",13,240,0,0,0,176237,5,39.9,15,164842
"MINPP1",4,63,0,0,0,48585,4,38.05,12,45576
"ACTA2",10,2241,8,5,0,56265,6,40.29,32,53299
"LIPA",12,3000,3,3,2,200988,8,41.43,44,196067
"TWNK",1,1,0,0,0,7034,5,52.35,17,3533
"FBXW4",8,287,3,0,0,84631,5,45.8,19,79603
"FGF8",4,27,5,0,0,10239,7,60.26,25,4644
"PITX3",2,11,0,0,0,11288,2,54.62,6,9901
"GBF1",40,1601,3,16,0,137367,2,43.61,40,130766
"SUFU",11,213,3,0,0,129548,4,47.98,35,122697
"ANKRD26",33,224,3,0,0,108584,6,38.15,98,100377
"ACBD5",13,413,11,0,0,46916,8,40.95,81,42589
"MTPAP",8,176,12,1,0,64647,5,43.36,48,56286
"PITRM1",31,3396,35,8,0,35113,11,46.17,116,28159
"STN1",1,25,0,0,0,35663,4,41.91,32,34057
"MAP3K8",7,116,1,0,0,27896,7,42.71,31,24305
"DKK1",2,164,0,0,0,3746,4,43.26,9,1546
"EBF3",15,89,3,0,0,128558,3,48.8,34,123952
"SMC3",29,928,0,1,0,36945,2,36.86,36,32700
"SHOC2",8,149,0,0,0,94120,7,35.08,31,89702
"TFAM",7,385,1,1,0,14199,4,38.21,23,8601
"ZMIZ1",23,160,2,0,0,247493,5,55.32,33,236774
"DNAJC12",5,154,0,1,0,41501,5,39.63,18,39753
"LGI1",6,250,0,1,0,48463,30,41.13,22,37505
"UBTF",20,951,1,0,0,16593,14,59.52,171,9625
"RGS9",17,341,0,5,0,126891,12,46.84,107,86628
"RNF43",8,111,1,0,0,65095,8,43.09,58,57600
"WNT3",3,19,0,0,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"ASPA",5,72,0,0,0,31045,4,41.06,16,25200
"RAD51C",9,251,2,0,0,43038,18,41.71,75,38431
"TRIM37",24,761,0,0,0,124283,14,39.71,149,118828
"GOSR2",7,282,4,0,0,52449,47,47.31,46,99893
"PNPO",5,511,3,0,0,6782,8,50.57,44,3928
"PIGL",7,286,3,0,0,134606,17,44.78,47,127103
"GALK1",7,260,3,1,0,14117,9,60.24,40,11231
"MED13",29,206,0,0,0,122677,6,38.73,36,110029
"ENO3",11,2507,5,5,0,9039,17,58.22,88,4760
"PFN1",1,725,1,2,0,3409,3,57.98,5,1425
"SLC25A11",8,1122,1,2,0,3121,5,58.68,26,457
"CHRNE",10,40,0,1,0,5300,3,62.33,22,2671
"RAI1",9,38,0,1,0,129980,7,56.45,14,120294
"NUP88",18,872,9,0,0,59197,13,42.72,72,53946
"C1QBP",4,1262,6,0,0,16053,7,46.67,21,13725
"SLC6A4",13,99,0,0,0,41683,5,46.87,46,34715
"CCDC47",12,732,0,0,0,31101,7,42.02,43,26579
"SMARCD2",11,685,1,4,0,10984,12,55.99,63,7265
"B9D1",8,189,1,0,0,40628,15,51.57,71,37122
"CCL2",1,124,0,0,0,1985,4,45.97,3,68634
"PEX12",1,6,1,0,0,4068,4,42.42,6,1219
"NAGLU",4,99,0,0,0,8277,5,57.01,13,5279
"MLX",9,901,4,1,0,6171,11,52.95,47,1916
"CNTNAP1",22,171,1,0,0,17201,4,54.63,48,11180
"DLX4",2,10,0,0,0,5989,6,59,9,2780
"COL1A1",51,5898,12,8,0,18343,13,58.47,86,8567
"SGCA",8,176,2,2,0,11717,11,55.92,64,9277
"EFTUD2",33,4653,5,2,0,49719,26,46.25,198,39374
"PRKAR1A",12,4068,4,4,0,39539,21,41.97,132,130740
"FAM20A",11,178,13,0,0,66276,7,44.83,45,60086
"YWHAE",11,4636,13,14,0,56106,13,44.81,31,52267
"DPH1",12,670,1,6,0,13320,17,56.54,82,7572
"MYH3",39,209,1,1,0,28783,5,48.63,88,22137
"PMP22",4,495,3,0,0,35549,9,45.52,23,32635
"FOXN1",7,28,1,0,0,32653,3,55.58,17,29025
"UNC119",4,170,0,0,0,5961,8,57.56,19,838
"PHOX2B",1,4,0,0,0,4888,2,52.1,4,1802
"GNRHR",1,8,1,0,0,15032,2,34.79,4,12871
"CHIC2",5,150,0,2,0,54901,4,36.75,16,53589
"NFKB1",23,690,16,0,0,115973,12,37.86,119,109744
"MANBA",19,325,0,0,0,129506,7,39.25,54,121087
"MAPK10",24,873,1,87,0,583736,52,37.32,192,569224
"GAB1",14,129,0,0,0,137806,14,38.61,54,127706
"CPE",7,733,0,2,0,137126,5,38.23,19,134181
"WFS1",6,297,29,0,0,33416,6,57.04,25,28911
"FRG1",8,340,1,0,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"CLCN3",16,382,0,0,0,111040,11,37.1,72,102954
"SEPSECS",10,181,0,1,0,40428,7,36.27,48,34208
"TRIM2",11,134,19,0,0,186978,12,42.05,44,177664
"SLC2A9",12,140,0,0,0,283783,13,45.33,67,277191
"FBXW7",13,498,3,0,0,214842,13,35.42,76,204570
"NSD2",1,1,0,0,0,110783,27,47.14,243,91036
"NKX3-2",11,519,4,2,1,4220,1,62.88,1,1421
"GLRB",10,349,0,0,0,96033,7,35.21,43,92587
"RAPGEF2",23,173,0,2,0,255991,13,36.57,64,244023
"UFSP2",10,463,4,5,0,26445,9,38.42,60,23677
"UGDH",11,766,5,1,0,29556,12,41.86,64,25526
"PPARGC1A",16,195,2,2,0,149048,18,38.32,71,138563
"CRYAB",1,389,0,0,0,15157,16,46.13,34,12133
"CTSC",10,990,1,2,0,44195,9,38.6,27,32784
"CCDC34",4,108,0,0,0,33041,3,37.62,12,29316
"ZBTB16",6,60,0,0,0,191083,9,47.44,30,184724
"ELP4",12,395,9,0,0,280628,29,35.79,38,272042
"ZPR1",1,49,0,0,0,14251,9,44.53,54,7195
"TECTA",21,45,0,0,0,90320,3,44.11,46,82649
"SC5D",3,734,2,0,0,16241,9,38.78,26,10680
"UNC93B1",9,447,1,0,0,13878,10,58.6,53,10448
"PUS3",3,30,0,0,0,9736,5,40.24,9,7731
"DCPS",5,175,0,0,0,41997,3,49.42,9,38651
"KMT5B",1,22,0,0,0,58965,15,42.48,89,50349
"FOXRED1",11,1007,16,4,0,9076,18,51.05,101,3427
"CPT1A",18,312,0,1,0,89790,9,50.04,84,83250
"CCND1",3,226,2,0,0,13387,6,58.58,10,8562
"FOLR1",4,161,2,0,0,6765,4,50.62,16,5172
"PANX1",3,36,0,0,0,53044,2,43.1,8,50280
"APOA5",2,27,0,0,0,3053,3,60.22,8,1119
"APOC3",2,68,0,0,0,3366,5,56.46,11,2506
"CEP164",31,422,4,8,15,98711,14,47.98,127,86896
"CEP126",1,16,0,0,0,86043,3,36.41,29,77864
"IL10RA",6,234,3,0,0,16689,11,49.23,56,8593
"UBE4A",23,370,1,5,0,39626,3,40.54,48,33071
"DDX6",12,149,0,0,0,43383,8,41.56,47,32070
"CBL",14,58,0,0,0,107650,5,42.2,15,90658
"NECTIN1",1,1,0,0,0,105676,7,54.84,24,97986
"PDHX",9,804,4,0,0,104762,8,36.68,39,101167
"SLC1A2",11,134,0,0,0,168857,8,42.2,44,156674
"MADD",35,985,1,40,0,60870,23,47.1,334,52558
"SLC22A18",9,233,1,0,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"CD81",7,1248,0,6,0,21242,17,63.44,85,13860
"SOX6",27,183,4,4,0,773142,17,36.07,129,753548
"AIP",4,640,0,4,0,8062,4,56.24,12,6428
"NDUFS8",7,939,1,7,0,6027,15,57.63,52,1512
"TCIRG1",21,456,3,3,13,11879,16,63.66,104,7512
"CHKA",12,257,0,0,0,68585,8,44.1,47,64723
"EXPH5",4,34,0,0,0,88307,6,41.4,31,77474
"HPS5",23,508,2,0,0,43530,11,39.75,104,37122
"POU2AF1",4,103,0,1,0,103378,12,45.99,29,95981
"VWF",52,983,2,2,0,175896,9,46.59,76,166025
"PPFIBP1",30,468,0,7,0,172133,18,39.81,179,161838
"COQ5",7,376,0,2,0,31160,8,45.87,27,28648
"DAO",11,223,1,0,0,42111,8,47.26,52,38242
"SLC11A2",17,1775,15,4,0,49165,26,43.54,206,39364
"MVK",11,826,6,2,0,24862,17,52.45,77,18402
"CYP27B1",9,101,2,1,0,6652,7,53.92,24,1591
"MYF6",1,11,0,0,0,1976,1,51.19,2,514
"MYF5",1,4,0,0,0,2761,1,44.75,2,1222
"KRT18",6,5047,7,6,0,4030,7,56.19,27,816
"GLI1",10,99,1,0,0,12127,8,54.96,49,7936
"TRPV4",14,235,1,1,0,50316,8,52.04,126,46574
"MYL2",5,1391,25,1,0,9903,4,47.14,13,8547
"CUX2",21,110,0,0,0,316530,3,49.28,31,308907
"SH2B3",6,65,3,0,0,45675,3,54.02,14,40003
"KCNA1",11,519,4,2,1,8363,4,47.21,4,13099
"ALDH2",13,1187,4,1,0,50642,5,48.8,39,40936
"CDKN1B",1,14,0,0,0,7313,4,45.43,8,4507
"SCNN1A",15,430,2,3,0,30887,23,51.15,114,25028
"MGP",3,878,0,0,0,4745,4,37.99,9,2111
"EIF2B1",7,1102,2,0,0,13360,6,45.42,37,9735
"VDR",9,268,2,2,0,101511,8,47.72,67,95849
"IFNG",2,102,0,0,0,4979,1,36.04,3,3765
"NUP107",26,913,5,0,0,59075,13,39.32,136,50785
"CNOT2",21,1229,9,1,0,111999,43,35.15,226,98835
"TIMELESS",29,892,4,4,0,33030,5,46.62,89,27237
"CHD4",39,1996,23,5,0,37393,14,48.35,184,29959
"GNB3",11,528,1,13,0,7439,9,54.7,56,4012
"TPI1",7,9987,16,8,0,3829,10,59.16,37,1136
"GNPTAB",20,343,1,0,0,85441,10,40.94,47,75844
"ATN1",8,179,3,0,0,17858,4,55.53,29,13103
"SLCO1B3",12,147,2,1,0,106209,5,35.9,63,275690
"GYS2",14,104,0,0,0,68658,1,37.1,15,65542
"AICDA",4,98,2,0,0,10705,6,41.42,17,7594
"PHC1",18,329,5,6,0,27571,14,44.13,131,21498
"COX6A1",1,433,0,0,0,2652,3,48.25,3,1311
"COL12A1",64,259,0,0,0,121725,11,36.87,294,109316
"TDP2",5,732,0,3,0,17056,5,39.02,23,13981
"DSE",12,53,1,1,0,190687,7,38.2,26,178995
"RSPH4A",4,18,0,0,0,16506,3,37.88,13,13672
"MAK",16,155,1,1,0,75832,5,42.11,61,71447
"GCNT2",6,86,0,1,0,137145,18,43.51,43,128105
"CEP85L",14,98,0,0,0,249303,11,38.17,59,239861
"MCM9",13,61,0,0,0,121720,9,39.07,32,109240
"RIPOR2",1,8,0,0,0,237736,8,41.72,88,236969
"SASH1",18,283,0,0,0,279746,11,43.29,23,271169
"FANCE",8,69,2,0,0,14742,1,50.42,9,12198
"TULP1",13,162,3,0,0,15064,8,53.76,44,12121
"SLC26A8",19,297,2,2,0,81354,8,42.4,93,75337
"RHAG",8,195,0,0,0,31681,3,39.67,17,29779
"IL17F",1,6,0,0,0,7856,2,42.37,3,6792
"PHACTR1",14,152,0,1,0,573679,10,41.2,70,562284
"BACH2",11,76,4,0,0,370379,10,40.5,39,360603
"CAP2",15,1018,1,0,0,164576,9,42.32,67,160954
"RAB23",5,124,0,0,0,35322,2,37.66,12,30404
"FBXL4",8,155,0,1,0,79468,2,36.71,17,71363
"PRDM13",2,5,0,0,0,8848,2,51.08,6,5574
"SIM1",10,49,0,0,0,79914,4,39.73,23,70652
"BVES",6,62,0,0,0,40352,3,40.62,21,34554
"COL9A1",37,361,1,0,0,88022,10,37.98,186,80985
"MED23",29,566,1,2,0,54263,9,36.17,224,46845
"WASF1",10,726,5,1,0,80185,10,36.65,68,76937
"ALDH5A1",9,195,0,0,0,42355,5,43.11,41,36841
"GMNN",6,457,1,0,0,11168,7,36.82,25,8700
"EYA4",23,160,1,3,0,291522,14,36.95,183,282582
"SOBP",5,33,0,0,0,170209,4,41.63,11,164430
"PEX7",10,164,1,0,0,91373,3,38.37,22,89538
"ZBTB24",5,48,1,1,0,20643,1,43.86,6,15131
"FIG4",22,658,0,0,0,134116,5,38.91,53,130549
"PERP",1,515,0,0,0,19006,1,39.44,2,14719
"ADGRG6",1,20,0,0,0,144412,14,35.7,125,135966
"EPM2A",10,53,0,0,0,353488,29,37.55,20,229632
"SLC39A7",6,424,6,4,0,3994,4,52.92,20,1156
"CCR6",6,31,0,0,0,27889,3,45.54,7,23667
"PDE10A",25,249,0,0,0,659316,5,40.93,64,326602
"SMOC2",12,323,3,0,0,232294,6,47.27,32,228138
"TBP",7,199,37,0,0,18568,8,39.46,28,16539
"GUCA1B",2,10,0,0,0,10515,1,46.2,3,9406
"PRPH2",1,7,0,0,0,25974,1,49.24,2,23001
"PPP2R5D",14,1304,44,42,0,27843,9,49.89,96,24544
"EXOC2",28,626,0,1,0,207978,3,40.51,51,203026
"IMPG1",16,96,0,0,0,151563,4,38.58,35,145426
"LAMA4",38,788,0,7,0,146179,22,39.14,201,134646
"TENT5A",1,8,0,0,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"CLIC5",8,110,3,0,0,181944,8,41.99,26,174144
"TBX18",7,65,0,0,0,77168,7,38.67,7,25680
"HARS2",16,871,1,1,0,7865,12,45.91,96,4468
"SEMA5A",23,135,0,0,0,511049,4,40.18,37,498978
"C7",17,1159,1,2,0,73687,7,38.13,28,68484
"GHR",13,24,0,0,0,298101,13,38.47,41,292247
"NME5",4,70,1,0,0,24271,6,41.3,12,21887
"KIF20A",19,824,1,0,0,8996,7,45.27,55,5057
"NNT",21,506,2,0,0,104713,10,37.88,75,96492
"HSPA9",18,4529,17,10,122,20562,13,42.74,65,15829
"LOX",6,222,1,0,0,15165,6,37.93,25,9631
"SPARC",10,6507,90,11,0,26069,9,47.91,35,21250
"PDE8B",21,404,3,0,0,219358,9,41.52,123,212440
"GRM6",8,12,2,0,0,17879,5,56.15,22,11195
"ITK",16,246,0,0,0,112258,10,41.46,56,103672
"THG1L",5,230,4,0,0,10251,3,43.11,12,7038
"ARSB",7,53,0,0,0,208878,6,41.01,25,201701
"IL12B",6,72,0,0,0,16104,1,41.92,7,13351
"MSH3",23,280,0,0,0,221812,3,38.03,29,217129
"GABRG2",10,723,2,0,0,162920,28,35.18,59,83562
"LMNB1",11,212,2,0,0,60397,8,42.33,52,56774
"NPR3",6,89,3,0,0,102654,7,40.83,39,92799
"PDE4D",24,344,0,0,0,1553082,29,37.37,201,1537241
"PRLR",11,240,2,0,0,181833,20,40.84,100,168741
"RAD50",23,397,0,2,0,90325,9,38.81,117,80540
"PCDH12",2,22,0,0,0,26156,3,48.79,6,19342
"NUP155",33,686,1,0,0,83044,8,41.76,122,73847
"PPP2CA",5,977,1,1,0,31808,6,40.38,15,26157
"NR3C1",9,205,2,6,0,157581,16,37.82,83,148429
"LIFR",19,184,1,0,0,133391,9,39.45,69,121554
"C9",9,182,0,0,0,140606,4,38.3,23,137669
"TXNDC15",3,140,1,0,0,27722,10,46.17,28,22465
"ERGIC1",10,1107,4,4,0,118410,14,50.91,51,104288
"PDGFRB",21,299,2,2,0,42035,11,54.34,60,35578
"EHHADH",6,177,0,0,0,91366,6,39.78,21,86676
"TIMMDC1",5,523,1,2,0,26558,9,38.48,30,23835
"CRBN",12,909,18,1,0,35099,15,37.25,62,23564
"KNG1",9,335,2,0,0,26678,3,41.77,28,22949
"HRG",6,178,1,0,0,18024,3,43.62,12,12971
"BCL6",8,358,2,0,0,24350,11,47.68,45,18424
"HGD",13,570,2,2,0,54398,10,41.27,50,51432
"CLDN16",3,40,0,0,0,89602,3,37.26,9,86027
"ARL6",10,189,0,1,0,36721,9,34.36,48,34340
"NPHP3",26,348,2,0,0,41833,11,36.77,180,151094
"OGG1",6,183,1,0,0,38275,18,49.74,66,29551
"PCCB",21,1391,1,1,0,87590,19,41.76,195,80079
"UBE3A",14,385,3,2,0,105328,28,36.21,59,95950
"BCHE",4,36,1,0,0,64568,5,32.3,17,61493
"PDCD10",9,1065,11,2,0,51641,18,35.73,101,48377
"WNT5A",3,39,1,2,0,24824,7,48.49,17,17577
"COL7A1",119,579,2,0,0,31194,10,60.13,349,20236
"FGF12",4,242,1,0,0,628369,9,37.5,34,621023
"GNAT1",7,141,0,0,0,4904,5,62.55,23,2160
"GNAI2",10,2585,2,9,0,33063,12,57.36,82,25426
"TFG",11,1475,4,21,0,39635,10,36.38,41,34692
"USP9Y",44,214,2,0,0,159608,5,36.81,95,148412
"HYAL1",4,32,2,0,0,12492,9,53.29,20,9366
"NPRL2",14,442,18,8,0,3761,17,56.73,104,86
"FXR1",18,2947,1,1,0,114612,22,38.94,167,102580
"IFT57",11,424,0,0,0,61758,6,35.29,22,58003
"GNB4",9,294,0,0,0,55501,5,39.16,29,48479
"GBE1",16,628,0,1,0,272462,6,35.29,37,267309
"UMPS",5,273,1,1,0,18907,11,42.81,50,11337
"PLXNA1",29,391,0,0,0,48798,4,61.75,72,37886
"ATP6V1A",16,834,1,0,0,65037,6,38.22,60,59926
"MRPL3",13,1474,1,1,0,40771,10,35.94,53,38068
"MAPKAPK3",11,670,0,2,0,37777,8,53.69,39,33872
"ACVR2B",8,73,0,1,8,39291,3,47.64,28,23557
"WDR48",20,2317,12,0,0,44673,10,39.95,127,37205
"KLHL24",7,112,0,0,0,48909,15,39.02,43,40272
"PLCH1",22,133,0,0,0,369487,6,39.53,136,362341
"DNAH1",78,437,1,0,0,84172,8,55.25,222,70378
"TNNC1",6,495,2,0,0,2968,3,59.58,9,1806
"CLCN2",22,231,5,0,0,15466,22,55.49,140,11199
"FOXP1",25,608,24,2,0,629296,23,41.11,178,615973
"EIF4G1",32,3827,47,6,1,20863,38,52.77,590,12634
"SLC4A3",21,344,15,0,0,14653,9,60.88,151,9586
"DGUOK",7,384,3,13,0,32135,8,42.81,31,30688
"LMAN2L",8,949,1,0,0,34135,9,44.97,71,31436
"PIKFYVE",41,380,1,0,0,92484,9,37.08,125,81696
"ZAP70",14,208,2,0,0,26302,8,55.1,58,21203
"STEAP3",7,103,5,0,0,41821,4,51.67,37,37140
"POMC",2,181,17,0,0,8050,5,51.16,13,6516
"OTOF",46,208,4,0,0,101495,7,52.81,182,93657
"GPD2",20,342,1,1,0,178445,13,37.9,109,171313
"ACVR1",14,172,2,0,0,139418,10,40.31,60,135447
"MPV17",9,477,10,0,0,16188,23,50.33,104,11544
"EIF2B4",14,620,56,2,0,6134,12,50.64,74,797
"ITGB6",17,213,0,2,0,172222,11,40.66,83,165896
"REEP6",4,181,0,0,0,7180,4,61.44,14,4737
"APC2",14,114,4,0,0,26942,8,63.5,73,14347
"IFIH1",14,161,0,0,0,51624,3,35.76,17,47112
"MOGS",3,108,0,0,0,4353,9,57.9,23,945
"NDUFS7",11,1004,4,1,0,12062,20,59.57,90,4542
"SPTBN1",36,1079,0,0,0,215160,7,42.78,87,196707
"HTRA2",7,260,1,0,0,3971,10,54.73,50,975
"LOXL3",12,145,0,0,0,23276,10,50.8,74,18929
"GALNT3",11,126,0,1,0,47091,9,37.06,37,42419
"CCDC88A",33,524,5,1,0,132079,14,36.45,196,117578
"EFEMP1",12,2124,6,6,1,58172,14,37.96,73,53939
"FANCL",13,793,1,12,0,82129,10,34.76,85,79725
"FN1",52,10653,84,4,0,75732,27,39.44,649,58458
"STAT1",26,2102,1,2,0,56602,12,41.75,157,50579
"GLS",20,512,0,0,0,84725,15,35.11,80,74919
"ELMOD3",16,498,3,14,1,37358,22,46.14,182,30112
"GGCX",13,610,3,17,4,16824,10,46.19,47,8806
"SF3B1",25,999,0,2,0,45307,12,39.41,51,36169
"ST3GAL5",11,359,4,0,0,68079,69,45.07,50,44184
"ZNF142",9,61,6,0,0,21739,7,49.52,43,14767
"FHL2",7,469,0,1,0,80801,12,44.54,62,74649
"MLPH",19,994,1,1,0,69890,23,51.32,171,62399
"ABCB6",18,514,4,0,0,9222,13,54.46,100,4031
"SLC5A7",7,53,3,0,0,27471,2,37.27,23,22312
"TPO",15,175,0,0,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"PROC",9,139,14,0,0,10819,10,57.69,53,8331
"ODC1",10,2081,9,8,0,8536,4,46.16,29,5581
"DCAF17",13,129,0,1,0,50835,12,37.36,65,43196
"RAB3GAP1",26,992,1,3,0,124129,7,37.96,106,117483
"SLC25A12",21,1100,1,0,0,215489,10,40.22,81,218741
"LCT",15,52,1,0,0,49340,2,47.21,22,42771
"SLC1A4",7,304,0,0,0,35388,5,45.52,28,28459
"SOS1",22,222,0,0,0,142949,8,37.8,86,133626
"KYNU",23,589,0,2,0,178334,9,37.46,51,161773
"WIPF1",12,187,3,0,0,123344,17,41.82,70,114244
"ORC4",16,1443,0,1,0,91207,16,36.15,129,82179
"TIA1",13,331,7,5,0,39216,20,39.67,110,32624
"KISS1R",3,29,0,0,0,3728,3,69.67,5,2053
"EPAS1",14,438,4,1,0,93036,10,46.71,41,85754
"SUMO1",6,1421,12,0,0,32428,10,41.66,42,30273
"ATP6V1B1",15,383,0,1,0,29524,8,50.22,57,26886
"NFE2L2",3,762,3,3,0,165102,14,40.63,45,159209
"MSH6",9,266,1,0,0,114571,15,44.65,44,18665
"SPR",1,38,1,1,0,4798,2,54.78,4,3321
"EPHA4",17,416,0,2,0,156175,14,40.26,85,148643
"FARSB",21,2572,11,3,0,85801,1,38.05,33,82390
"ALMS1",22,161,0,2,0,225035,8,38.28,83,210994
"PRRX1",3,34,0,0,0,76691,8,39.17,18,68453
"DHCR24",11,877,0,0,0,37585,3,47.68,24,33154
"TNR",22,77,1,0,0,428576,3,43.87,47,415640
"SCP2",17,2956,8,1,0,124474,17,40.01,123,116186
"PAPPA2",23,188,0,0,0,382434,5,39.35,31,371530
"CEP104",21,226,1,0,0,45133,11,47.92,66,37281
"NPHS2",6,20,0,0,0,25413,2,41.64,13,23547
"CHD5",42,439,0,4,0,78330,6,56.7,171,68484
"PARK7",9,2810,0,0,0,31214,10,45.41,52,28828
"AMPD2",23,1373,5,2,0,15947,26,56.74,178,9137
"MECR",16,571,25,5,0,38069,18,48.21,94,34162
"EDEM3",19,243,2,0,0,64682,6,34.39,60,56899
"ASH1L",28,184,1,2,0,227539,7,41.38,69,214274
"ARHGEF2",24,605,10,5,0,60219,20,50.95,162,42103
"LAMTOR2",2,184,0,1,0,3758,6,50.94,13,2324
"DOCK7",48,633,12,4,0,234070,37,36.06,148,222747
"MAD2L2",10,763,0,4,0,17170,9,53.91,60,13853
"DNAJC6",19,660,1,1,0,167650,8,40.01,76,160766
"LEPR",17,323,1,0,0,220907,8,37.78,112,209561
"IVNS1ABP",14,856,1,6,0,20941,9,37.35,67,13026
"MFN2",22,1601,48,1,1,33333,6,51.12,46,28382
"PRG4",11,361,0,1,4,18283,6,38.06,63,13252
"NCF2",15,787,1,0,0,35313,7,46.59,66,32400
"SLC35D1",10,129,0,0,0,54767,1,37.83,21,47626
"PLA2G4A",16,167,1,0,0,160028,2,36.1,38,157171
"WLS",15,594,2,2,0,134647,14,41.57,82,130169
"RPE65",12,87,3,0,0,21137,1,38.81,13,18541
"AMPD1",14,205,0,0,0,22528,7,40.73,46,20040
"CTH",12,248,0,0,0,28633,5,39.51,38,26231
"TNNI3K",11,519,4,2,1,309027,8,36.79,79,340369
"CFHR3",4,97,0,0,0,20611,6,35.69,20,16339
"WARS2",5,279,2,8,0,109455,5,38.1,24,105616
"GNPAT",16,1228,19,3,0,36766,5,41.78,52,33610
"TBCE",17,691,5,4,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"MTR",33,449,1,0,0,108700,5,40.73,107,97302
"KCNQ4",12,37,0,0,0,56440,4,55.43,47,52273
"AKT3",19,268,0,0,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"ACADM",13,1808,11,17,1,63228,18,40.45,131,58461
"SDHB",7,1002,0,1,0,35448,8,43.51,30,32997
"KDM5B",27,990,1,0,0,84979,10,41.09,101,72919
"ECE1",17,1117,1,0,0,128257,13,52.19,119,121017
"HMGCL",10,918,3,0,0,36735,9,46.84,52,31090
"GALE",14,907,7,1,0,5205,16,60.1,78,1233
"CR2",19,207,0,0,0,35665,7,39.17,78,30802
"CD46",15,1557,5,5,0,43456,19,38.21,156,34758
"PRPF3",16,859,11,1,0,31719,7,44.24,67,26390
"P3H1",1,35,0,5,0,20749,14,50.04,93,13998
"SLC2A1",10,3099,9,9,0,33798,9,52.89,23,29282
"MPL",10,57,1,0,0,14923,3,48.43,20,12849
"PTCH2",22,168,4,0,0,23219,3,53.14,47,18094
"PRDX1",7,5724,7,28,0,12011,6,47.46,24,10496
"SLC19A2",4,45,0,0,0,22094,2,38.72,14,18429
"ABCD3",27,1556,1,0,0,100211,6,37.04,116,92647
"DPH5",8,548,13,1,0,36465,15,37.71,80,33505
"FASLG",2,51,0,0,0,7856,2,41.71,5,5972
"TNFSF4",1,10,0,0,0,23579,3,39.89,5,19641
"DARS2",15,380,0,0,0,34043,3,40.56,37,30372
"HSD11B1",6,244,1,1,0,48772,4,40.88,17,47266
"IRF6",7,240,0,0,0,20552,4,44.96,20,15646
"SERPINC1",6,140,1,0,0,13574,4,46.31,12,11814
"SLC35A3",7,95,0,0,0,66286,24,37.43,49,50960
"NEK2",6,240,3,0,0,16973,5,39.5,27,9827
"DHDDS",8,469,5,0,0,39012,25,45.47,109,33427
"ARID1A",19,350,15,0,0,88868,17,46.19,80,76846
"CENPF",18,188,0,0,0,61393,6,40.92,26,49752
"MESD",1,1,0,0,0,43589,7,45.39,15,36093
"MUC5B",61,432,0,0,0,39106,5,65.56,129,20547
"CTSD",7,2787,4,8,0,11821,14,64.73,29,8250
"COLEC11",8,356,0,0,0,49812,13,51.1,64,47047
"STAG1",35,637,0,1,0,416170,10,38.94,197,408361
"STK11",11,340,0,0,0,50877,9,57.49,40,30527
"KMT2A",38,392,6,2,0,90342,14,41.25,140,68417
"TREH",14,115,0,3,0,22374,5,49.56,79,19206
"APOA1",2,376,2,16,0,2199,5,62.5,12,778
"KPTN",11,452,0,3,0,9124,9,53.48,73,7015
"KIF14",28,194,0,0,0,69237,2,37.83,29,61990
"TNNT2",17,592,19,4,0,18754,25,54.6,248,11489
"DDX59",8,82,0,0,0,46073,8,42,37,41616
"ATF6",15,911,0,1,0,197776,2,37.21,19,189903
"CRYGD",1,14,0,0,0,2894,1,37.37,2,2278
"FASTKD2",10,240,3,0,0,27152,6,37.72,46,21083
"CREB1",12,447,2,0,0,73694,17,37.47,89,63821
"TTR",2,4312,4,2,0,7295,5,41.75,6,5219
"ELOVL4",4,79,0,0,0,32768,1,36.66,5,29732
"PLAGL1",9,490,70,7,3,124299,22,40.32,57,118128
